1,2,3,4,5,6
10,8,3,6,8,6
8,8,3,6,9,8
10,10,7,8,10,10
6,8,1,10,3,6
8,8,1,10,1,6
1,10,1,10,1,10
7,6,1,6,4,4
3,4,3,4,3,4
9,8,3,8,6,6
2,4,3,4,4,6
6,6,6,6,5,6
5,6,2,8,5,10
1,2,1,2,1,2
8,4,2,4,1,4
8,10,5,8,2,6
10,10,8,8,8,10
4,2,2,2,1,4
7,8,5,6,7,8
1,10,1,10,3,8
3,8,5,8,6,8
1,10,1,10,1,10
10,8,8,8,7,8
7,6,2,8,4,6
4,6,2,4,1,2
3,8,2,8,5,6
5,8,3,8,6,8
